iter	Passed	Remaining
403	9512	14033
404	9536	14009
405	9555	13980
406	9578	13956
407	9598	13927
408	9623	13905
409	9652	13890
410	9675	13865
411	9707	13854
412	9726	13824
413	9767	13825
414	9797	13810
415	9826	13795
416	9849	13770
417	9874	13748
418	9897	13724
419	9922	13702
420	9945	13678
421	9966	13650
422	9990	13628
423	10011	13599
424	10036	13579
425	10058	13553
426	10083	13531
427	10100	13498
428	10120	13470
429	10146	13449
430	10164	13419
431	10191	13399
432	10213	13374
433	10241	13356
434	10261	13328
435	10284	13303
436	10306	13278
437	10326	13250
438	10346	13221
439	10366	13193
440	10388	13168
441	10413	13146
442	10434	13119
443	10454	13091
444	10478	13068
445	10497	13039
446	10522	13017
447	10541	12988
448	10562	12962
449	10587	12939
450	10605	12910
451	10631	12889
452	10651	12862
453	10673	12836
454	10696	12812
455	10717	12785
456	10739	12760
457	10764	12738
458	10785	12712
459	10807	12686
460	10828	12660
461	10853	12638
462	10872	12610
463	10898	12589
464	10917	12561
465	10939	12535
466	10960	12509
467	10981	12483
468	11002	12457
469	11020	12427
470	11051	12412
471	11085	12400
472	11109	12377
473	11126	12347
474	11147	12320
475	11177	12305
476	11199	12279
477	11223	12256
478	11261	12249
479	11280	12220
480	11301	12194
481	11321	12166
482	11343	12142
483	11362	12114
484	11384	12089
485	11418	12076
486	11447	12058
487	11468	12032
488	11496	12014
489	11520	11991
490	11544	11967
491	11566	11942
492	11584	11913
493	11605	11887
494	11628	11863
495	11648	11836
496	11675	11816
497	11694	11788
498	11717	11764
499	11741	11741
500	11762	11715
501	11784	11690
502	11806	11665
503	11830	11642
504	11850	11615
505	11871	11590
506	11893	11565
507	11913	11538
508	11935	11513
509	11957	11488
510	11978	11462
511	12000	11438
512	12023	11413
513	12046	11390
514	12065	11362
515	12086	11336
516	12104	11308
517	12131	11287
518	12150	11260
519	12171	11234
520	12195	11212
521	12215	11185
522	12240	11164
523	12259	11136
524	12282	11112
525	12301	11085
526	12327	11063
527	12347	11037
528	12367	11011
529	12390	10987
530	12410	10961
531	12441	10944
532	12459	10917
533	12490	10900
534	12509	10872
535	12531	10848
536	12559	10828
537	12582	10804
538	12611	10786
539	12633	10761
540	12655	10736
541	12678	10713
542	12697	10686
543	12726	10668
544	12746	10641
545	12772	10620
546	12804	10603
547	12838	10589
548	12859	10564
549	12878	10537
550	12912	10522
551	12940	10502
552	12963	10478
553	12996	10463
554	13020	10439
555	13048	10419
556	13074	10398
557	13095	10373
558	13113	10345
559	13133	10318
560	13151	10291
561	13171	10265
562	13196	10243
563	13216	10216
564	13239	10193
565	13259	10166
566	13279	10140
567	13300	10115
568	13327	10095
569	13347	10069
570	13371	10046
571	13391	10020
572	13416	9997
573	13436	9972
574	13456	9945
575	13476	9920
576	13499	9896
577	13520	9871
578	13541	9846
579	13563	9821
580	13584	9796
581	13605	9771
582	13628	9747
583	13649	9722
584	13669	9696
585	13694	9675
586	13714	9649
587	13733	9622
588	13753	9597
589	13773	9571
590	13804	9553
591	13825	9528
592	13847	9504
593	13868	9479
594	13890	9454
595	13917	9433
596	13940	9410
597	13990	9404
598	14035	9396
599	14054	9369
600	14078	9346
601	14113	9330
602	14157	9320
603	14174	9293
604	14209	9277
605	14251	9266
606	14270	9239
607	14301	9220
608	14325	9197
609	14346	9172
610	14377	9153
611	14409	9135
612	14429	9109
613	14449	9083
614	14471	9059
615	14492	9034
616	14513	9009
617	14534	8984
618	14557	8960
619	14577	8934
620	14599	8910
621	14622	8886
622	14647	8863
623	14667	8837
624	14689	8813
625	14712	8789
626	14730	8763
